DistrictID,Autism,Kstudent,Rate,Area_km,LC11,LC21,LC2B,LC31,LC4,LC52,LC71,LC8,LC9,Avecanopy,Prdcan100,Prdcan50,Roadensity,Rd4,Pop,Popm,Popf,Malep,Femalep,Popden,Age19l,Age65m,Whitep,Blackp,Asisanp,Vehicle0,Unemploy,Income_median,Income_sd_median,RLC2b,RLC4,RLC71,Rcanopy,Rroadcan100,Rroadcan50,LC1106,LC2106,LC2B06,LC3106,LC406,LC5206,LC7106,LC806,LC906,RLC2B06,RLC406,RLC7106
72,0,47,0.00,698.1,0,0.95,0.12,0.13,13.76,36.71,48.11,0.16,0.07,13.35,5.19,4.77,0.077,1,810,409,401,50.49,49.51,1.16,15.93,33.7,97.9,0,0,0.76,5.75,52321,5.2321,0.012,1.376,4.811,1.335,0.519,0.477,0,0.95,0.12,0.13,13.85,36.64,48.09,0.17,0.06,0.012,1.385,4.809
73,27,2179,12.39,10.8,0.32,3.65,95.95,0,0,0,0,0,0.08,2.1,1.45,0.9,3.532,4,31435,15472,15963,49.22,50.78,2910.65,23.94,12.05,78.6,2.6,16.25,3.76,5.85,82476,8.2476,9.595,0,0,0.21,0.145,0.09,0.32,3.8,95.8,0,0,0,0,0,0.08,9.58,0,0
74,1,276,3.62,270.6,0.69,2.23,0.61,0.01,76.24,15.66,2.72,0,1.85,60.71,53.64,51.31,0.103,1,3644,1693,1951,46.46,53.54,13.47,24.4,20.83,96.24,0,0.58,1.29,4.28,54475,5.4475,0.061,7.624,0.272,6.071,5.364,5.131,0.68,2.23,0.6,0,76.91,14.93,2.8,0,1.85,0.06,7.691,0.28
75,26,5366,4.85,33.8,0.39,8.9,90.36,0,0.04,0.03,0.29,0,0,4.42,3.03,2.25,3.644,4,90108,46298,43810,51.38,48.62,2665.92,23.19,11.19,66.9,3.47,18.37,5.73,6.29,68727,6.8727,9.036,0.004,0.029,0.442,0.303,0.225,0.39,9.04,90.23,0,0.04,0.03,0.28,0,0,9.023,0.004,0.028
76,4,164,24.39,146.8,7,1.86,0.05,0,79.75,9.43,1.87,0.02,0,66.41,68.65,65.84,0.167,2,670,309,361,46.12,53.88,4.56,18.51,16.87,98.81,0,0.6,1.64,7.3,31369,3.1369,0.005,7.975,0.187,6.641,6.865,6.584,7,1.86,0.05,0,80.18,9.39,1.52,0,0,0.005,8.018,0.152
77,0,46,0.00,10.1,0.25,8.05,0.31,0,76.19,1.12,11.98,0.51,1.6,65.09,77.2,76.1,0.805,4,60,39,21,65.00,35.00,5.94,30,1.67,100,0,0,0,7.89,73438,7.3438,0.031,7.619,1.198,6.509,7.72,7.61,0.25,8.06,0.3,0,76.56,0.88,11.87,0.51,1.58,0.03,7.656,1.187
78,0,116,0.00,61.4,1.62,5.87,1.07,0.49,0,0.06,10.95,75.92,4.03,2.16,0.19,0.01,0.124,1,1075,527,548,49.02,50.98,17.51,29.02,17.3,81.21,0,0,3.15,7.17,42083,4.2083,0.107,0,1.095,0.216,0.019,0.001,1.62,5.84,1.06,0.49,0,0,10.3,76.66,4.03,0.106,0,1.03
79,5,664,7.53,8.6,6.09,15.12,69.38,0,0,0.91,1.16,0,7.32,2.51,1.99,1.43,2.693,4,11602,5813,5789,50.10,49.90,1349.07,23.59,10.01,90.8,1.24,7,2.75,3.92,77862,7.7862,6.938,0,0.116,0.251,0.199,0.143,6.03,15.31,69.28,0,0,0.91,1.15,0,7.31,6.928,0,0.115
80,13,960,13.54,70.7,2.56,9.16,15.1,0.89,7.46,9.23,21.73,30.68,3.17,15.4,6.23,4.7,0.780,3,15945,7611,8334,47.73,52.27,225.53,27.77,14.36,89.42,2.41,4.42,11.72,13.99,35483,3.5483,1.51,0.746,2.173,1.54,0.623,0.47,2.38,9.62,14.53,0.88,7.48,8.98,21.74,31.21,3.17,1.453,0.748,2.174
81,23,2048,11.23,405.1,2.7,5.2,3.94,0.8,7.68,60.12,18.09,0.99,0.46,2.82,1.34,1,0.334,3,30886,19588,11298,63.42,36.58,76.24,28.56,3.91,60.44,15.04,6.93,2.96,5.94,92204,9.2204,0.394,0.768,1.809,0.282,0.134,0.1,2.7,5.27,3.6,0.48,7.72,60.37,18.37,1.03,0.46,0.36,0.772,1.837
82,0,49,0.00,481.5,0.18,0.99,0.3,0.23,86.22,10.24,1.71,0.09,0.02,73.02,47.8,35.79,0.083,1,408,208,200,50.98,49.02,0.85,21.08,20.1,89.46,0.98,1.23,3.82,11.7,35938,3.5938,0.03,8.622,0.171,7.302,4.78,3.579,0.18,0.99,0.3,0.23,87.2,9.47,1.52,0.09,0.02,0.03,8.72,0.152
83,0,111,0.00,129.7,1.35,3.72,2.25,0.01,14.68,12.03,63.85,0.75,1.36,9.6,6.49,5.93,0.272,2,3426,1700,1726,49.62,50.38,26.41,10.86,20.75,98.83,0,0.73,1.45,6.95,56210,5.621,0.225,1.468,6.385,0.96,0.649,0.593,1.98,3.72,2.24,0.01,14.7,12.04,63.91,0.66,0.72,0.224,1.47,6.391
84,27,3017,8.95,14.6,0,14.76,82.2,0.27,0,0.13,2.64,0,0,1.6,0.85,0.8,1.994,4,38948,19176,19772,49.23,50.77,2667.67,30.45,8.09,72.17,9.26,8.87,2.38,8.94,67642,6.7642,8.22,0,0.264,0.16,0.085,0.08,0,16.27,79.92,0.27,0,0.13,3.41,0,0,7.992,0,0.341
85,9,1385,6.50,456.1,0.87,2.68,3.4,1.2,0.01,0.04,0.66,91.08,0.06,0,0.02,0.01,0.196,2,11006,6833,4173,62.08,37.92,24.13,34.54,2.52,71.65,11.04,6.78,0.72,5.76,40877,4.0877,0.34,0.001,0.066,0,0.002,0.001,0.88,2.69,3.38,1.19,0.01,0.04,0.65,91.11,0.07,0.338,0.001,0.065
86,61,3914,15.59,15.2,0,5.55,94.01,0,0,0,0.43,0,0,0.13,0.21,0.23,2.969,4,55133,26398,28735,47.88,52.12,3627.17,27.01,12.64,53.16,4.13,28.1,5.13,6.88,63223,6.3223,9.401,0,0.043,0.013,0.021,0.023,0,5.8,93.43,0,0,0,0.76,0,0,9.343,0,0.076
87,1,470,2.13,165.6,0.55,4,1.95,0.04,0,0.23,1.65,88.31,3.28,0.39,0.1,0.03,0.340,3,5092,2694,2398,52.91,47.09,30.75,41.58,5.46,68.3,0.33,1.16,4.92,4.57,44026,4.4026,0.195,0,0.165,0.039,0.01,0.003,0.55,3.96,1.87,0.04,0,0.18,1.67,88.45,3.28,0.187,0,0.167
88,1,94,10.64,17.9,3.4,9.52,0.17,0,68.62,5.19,13.09,0,0,51.1,46.12,45.44,0.231,2,1233,697,536,56.53,43.47,68.88,22.06,19.3,93.51,3,1.05,0,15.6,58542,5.8542,0.017,6.862,1.309,5.11,4.612,4.544,3.33,9.54,0.17,0,68.79,5.24,12.92,0,0,0.017,6.879,1.292
89,5,1362,3.67,285.3,0.22,5.46,3.7,0.19,0.02,0.02,14.67,75.31,0.41,0.75,0.34,0.16,0.265,2,21065,6615,14450,31.40,68.60,73.83,24.2,6.22,72.22,11.7,2.56,5.63,7.16,37386,3.7386,0.37,0.002,1.467,0.075,0.034,0.016,0.2,5.49,3.2,0.2,0.02,0.02,14.55,75.91,0.41,0.32,0.002,1.455
90,0,243,0.00,172.2,0.06,4.01,3.58,0.16,11.21,16.68,17.2,46.55,0.56,7.73,0.02,0,0.284,3,1907,947,960,49.66,50.34,11.07,42.06,5.72,81.49,0,1.26,1.97,14.2,48000,4.8,0.358,1.121,1.72,0.773,0.002,0,0.06,4.04,3.55,0.03,11.22,16.7,17.31,46.46,0.62,0.355,1.122,1.731
91,254,23127,10.98,268.6,3.8,8.42,37.77,0.69,0.69,34.23,12.92,0,1.48,0.61,0.67,0.48,1.086,4,251356,121604,129752,48.38,51.62,935.80,31.62,10.74,65.32,5.24,15.64,4.96,7.15,63508,6.3508,3.777,0.069,1.292,0.061,0.067,0.048,3.82,8.21,36.3,1.94,0.68,34.4,13.18,0,1.47,3.63,0.068,1.318
92,0,18,0.00,184.4,0.1,3.66,0.07,0.12,39.17,32.12,21.31,1.48,1.96,28.91,,,0.000,1,192,121,71,63.02,36.98,1.04,28.13,4.69,87.5,0,0,0,3.06,76964,7.6964,0.007,3.917,2.131,2.891,,,0.1,3.65,0.06,0.12,39.19,32.12,21.32,1.48,1.97,0.006,3.919,2.132
93,1,167,5.99,6.4,0,22.56,30.9,0,0.6,2.6,42.53,0,0.82,5.1,4.35,4.15,1.224,4,2555,1306,1249,51.12,48.88,399.22,25.68,9.9,74.91,1.57,1.96,2.57,5.04,63587,6.3587,3.09,0.06,4.253,0.51,0.435,0.415,0,22.82,30.35,0,0.61,2.63,42.82,0,0.77,3.035,0.061,4.282
94,0,41,0.00,73.5,3.43,1.36,0.61,0.04,0.92,13.4,76,0.89,3.36,2.16,0.57,0.12,0.115,1,521,243,278,46.64,53.36,7.09,25.34,14.97,94.05,0,0.58,1.01,7.14,53750,5.375,0.061,0.092,7.6,0.216,0.057,0.012,3.82,1.35,0.6,0.04,0.92,13.41,76.04,0.85,2.97,0.06,0.092,7.604
95,0,157,0.00,13.6,0.32,3.56,2.31,0.29,0,0.04,0.3,92.86,0.3,0.77,0.75,0.64,0.219,2,366,211,155,57.65,42.35,26.91,33.06,10.93,89.89,0.55,5.74,4.92,7.36,69500,6.95,0.231,0,0.03,0.077,0.075,0.064,0.32,3.54,2.31,0.29,0,0.04,0.3,92.9,0.3,0.231,0,0.03
96,0,109,0.00,79.3,0.17,1.77,0.1,0,66.37,8.27,23.23,0.07,0.03,41.74,27.1,26.62,0.106,1,1871,994,877,53.13,46.87,23.59,20.26,13.84,93.96,0,3.63,1.33,9.38,66583,6.6583,0.01,6.637,2.323,4.174,2.71,2.662,0.17,1.77,0.1,0,66.66,8.17,23.11,0,0.03,0.01,6.666,2.311
97,0,7,0.00,934,0.15,0.82,0.31,1.26,75.95,19.01,2.02,0,0.46,54.2,44.77,40.04,0.037,1,206,125,81,60.68,39.32,0.22,10.68,36.41,97.57,0,0.49,0.92,23.73,34625,3.4625,0.031,7.595,0.202,5.42,4.477,4.004,0.17,0.82,0.31,1.26,76.66,18.38,1.93,0,0.47,0.031,7.666,0.193
98,3,154,19.48,9.9,0,36.45,3.64,0,41.12,16.11,2.31,0,0.35,18.36,21.17,20.74,0.668,3,3181,1366,1815,42.94,57.06,321.31,44.73,10.41,91.86,0.5,4.84,0,8.65,136607,13.6607,0.364,4.112,0.231,1.836,2.117,2.074,0,36.48,3.5,0,41.23,16.11,2.32,0,0.35,0.35,4.123,0.232
99,3,272,11.03,204.9,0.82,2.8,0.76,0,88.22,6.3,1.1,0,0,70.04,60.15,56.99,0.269,2,4572,2379,2193,52.03,47.97,22.31,23.71,12.88,96.22,0.24,1.71,3.04,5.39,64216,6.4216,0.076,8.822,0.11,7.004,6.015,5.699,0.81,2.81,0.75,0,88.66,5.83,1.14,0,0,0.075,8.866,0.114
100,4,267,14.98,1500.1,0.79,1.85,0.19,0.1,39.54,46.48,8.6,1.86,0.59,19.06,18.57,14.55,0.020,1,6170,2902,3268,47.03,52.97,4.11,23.63,22.72,83.53,2.93,0.65,1.01,3,87740,8.774,0.019,3.954,0.86,1.906,1.857,1.455,0.79,1.85,0.19,0.1,39.56,46.49,8.58,1.85,0.58,0.019,3.956,0.858
101,12,613,19.58,50.9,1.1,11.25,10.89,0,9.47,16.4,35.8,14.46,0.64,13.8,12.12,9.07,0.628,3,10145,4886,5259,48.16,51.84,199.31,31.66,13.36,90.91,0.77,5.86,1.53,8.98,59207,5.9207,1.089,0.947,3.58,1.38,1.212,0.907,1.11,11.45,10.38,0,9.63,16.33,35.99,14.45,0.65,1.038,0.963,3.599
102,0,391,0.00,199.8,10.94,1.9,1.19,0.18,45.19,28.16,12.38,0.05,0.02,44.68,38.54,37.59,0.136,1,6954,3576,3378,51.42,48.58,34.80,24.88,18.23,95.74,1.64,2.4,3.25,9.09,48789,4.8789,0.119,4.519,1.238,4.468,3.854,3.759,10.9,1.9,1.18,0.18,45.46,28.06,12.26,0.05,0.02,0.118,4.546,1.226
103,0,133,0.00,45.3,0.23,4.1,0.78,0.02,0,0,0.79,94.08,0,0.03,0.06,0.12,0.065,1,474,276,198,58.23,41.77,10.46,40.08,5.27,42.62,0,28.06,0,27.91,37083,3.7083,0.078,0,0.079,0.003,0.006,0.012,0,4.07,0.76,0.02,0,0,0.79,94.35,0,0.076,0,0.079
104,6,1276,4.70,426.4,0.44,4.66,2.22,1.49,0.49,1.68,61.8,25.53,1.68,3.22,1.5,0.89,0.280,2,13129,6781,6348,51.65,48.35,30.79,29.58,13.8,80.2,1.33,1.35,7.94,10.53,34896,3.4896,0.222,0.049,6.18,0.322,0.15,0.089,0.45,4.67,2.19,1.54,0.49,1.63,60.53,26.84,1.67,0.219,0.049,6.053
105,4,689,5.81,383.3,0.44,3.96,1.11,0.54,3.84,23.37,55.52,8.87,2.37,10.51,7.04,5.33,0.253,2,8213,4043,4170,49.23,50.77,21.43,29.23,14.15,90.8,0.15,1.4,2.52,5.46,51618,5.1618,0.111,0.384,5.552,1.051,0.704,0.533,0.43,3.99,1.08,0.55,3.93,23.13,55.46,9.06,2.37,0.108,0.393,5.546
106,0,8,0.00,959.6,0.12,1.11,0.02,0.13,80.73,17.17,0.72,0,0,57.88,28.76,26.61,0.029,1,218,92,126,42.20,57.80,0.23,20.18,11.47,95.41,0,0.92,0,14.77,35250,3.525,0.002,8.073,0.072,5.788,2.876,2.661,0.12,1.1,0.02,0.1,81.53,16.43,0.7,0,0,0.002,8.153,0.07
107,22,1846,11.92,53.9,0.05,9.29,84.39,0.07,0,0.02,6.12,0,0.05,0.36,0.38,0.46,2.837,4,27180,13632,13548,50.15,49.85,504.27,27.77,4.36,53.03,14.47,9.95,4.27,7.72,54522,5.4522,8.439,0,0.612,0.036,0.038,0.046,0.06,12.56,78.59,0.12,0,0.02,8.58,0,0.05,7.859,0,0.858
108,0,83,0.00,166.3,0.91,1.49,0.23,1.1,77.99,11.37,4.43,1.54,0.95,75.73,51.01,52.32,0.125,1,689,369,320,53.56,46.44,4.14,32.22,11.61,80.41,0,0,7.69,17.77,43750,4.375,0.023,7.799,0.443,7.573,5.101,5.232,0.86,1.49,0.23,1.25,79.47,10.4,3.82,1.54,0.94,0.023,7.947,0.382
109,153,12124,12.62,110.2,0.27,8.2,44.43,0.56,36.73,7.05,2.76,0,0,32.89,7.71,6.55,1.522,4,129342,63866,65476,49.38,50.62,1173.70,29.36,12.06,43.5,1.71,53.93,2.77,5.76,112587,11.2587,4.443,3.673,0.276,3.289,0.771,0.655,0.28,8.31,44.32,0.55,36.81,6.96,2.76,0,0,4.432,3.681,0.276
110,6,222,27.03,93.3,0.36,4.83,3.68,0,41.91,25.08,24.13,0,0,41.4,40.85,38.1,0.353,3,10012,4811,5201,48.05,51.95,107.31,23.75,21.41,96.21,0.07,0.6,2.48,6.95,55313,5.5313,0.368,4.191,2.413,4.14,4.085,3.81,0.37,4.84,3.68,0,42,25.01,24.1,0,0,0.368,4.2,2.41
111,1,483,2.07,30.6,0,6.38,5.48,0,80.75,4.77,2.58,0.04,0.01,76.63,37.61,31.42,0.261,2,5171,2411,2760,46.63,53.37,168.99,22.82,14.04,96.31,0,1.35,0.73,5.36,50577,5.0577,0.548,8.075,0.258,7.663,3.761,3.142,0,6.59,5.28,0.55,82.22,4.16,1.14,0.04,0.01,0.528,8.222,0.114
112,71,3342,21.24,15.6,0.09,8.06,91.16,0,0,0,0.69,0,0,0.2,0.24,0.26,2.982,4,42699,21090,21609,49.39,50.61,2737.12,27.87,12.1,57.31,4.07,31.94,2.3,5.47,79875,7.9875,9.116,0,0.069,0.02,0.024,0.026,0.09,8.17,90.92,0,0,0,0.82,0,0,9.092,0,0.082
113,2,640,3.13,53.2,0.79,10.52,3.44,0,0.11,71.13,11.65,0,2.36,1.06,0.82,0.54,0.388,3,2154,1059,1095,49.16,50.84,40.49,22.24,13.7,87.65,3.25,1.58,0,8.81,100385,10.0385,0.344,0.011,1.165,0.106,0.082,0.054,0.67,10.44,3.29,0,0.11,71.31,11.83,0,2.35,0.329,0.011,1.183
114,67,3599,18.62,38.9,0.81,16.81,52.74,1.66,0.42,19.9,5.2,0.34,2.13,2.67,1.21,0.81,2.472,4,41356,20289,21067,49.06,50.94,1063.14,29.71,8.07,79.45,1.03,20.34,1.52,3.64,121226,12.1226,5.274,0.042,0.52,0.267,0.121,0.081,0.8,17.2,50.52,2.09,0.42,21.3,5.18,0.34,2.14,5.052,0.042,0.518
115,17,5247,3.24,455.5,0.38,5.24,4.01,0.37,0,0.15,53.82,35.91,0.11,0.55,0.58,0.38,0.290,3,64744,37015,27729,57.17,42.83,142.14,35.29,6.67,61.33,4.55,13.67,9.62,14.27,34291,3.4291,0.401,0,5.382,0.055,0.058,0.038,0.38,5.21,3.75,0.39,0,0.15,53.64,36.36,0.11,0.375,0,5.364
116,0,40,0.00,18.8,0,1.82,0.46,0.28,6.63,24.76,35.56,30.48,0,5.52,0.16,0.06,0.259,2,192,91,101,47.40,52.60,10.21,27.08,13.02,89.06,0,10.94,0,0.98,52143,5.2143,0.046,0.663,3.556,0.552,0.016,0.006,0,1.81,0.46,0.28,6.63,24.73,35.58,30.49,0,0.046,0.663,3.558
117,0,133,0.00,136.7,0.63,5.37,1.25,0.31,0,0.53,30.69,61.23,0,0.66,0.19,0.07,0.246,2,795,421,374,52.96,47.04,5.82,38.49,10.44,53.08,0.38,0,10.29,16.57,31667,3.1667,0.125,0,3.069,0.066,0.019,0.007,0.01,5.36,1.24,0.19,0,0.53,30.57,62.1,0,0.124,0,3.057
118,14,1185,11.81,48.6,0.51,10.15,19.98,0.05,22.52,13.2,25.23,2.06,6.3,22.33,21.56,18.66,0.589,3,21868,10097,11771,46.17,53.83,449.96,23.93,22.56,86.26,3.37,9.05,6.94,5.02,85760,8.576,1.998,2.252,2.523,2.233,2.156,1.866,0.5,10.19,19.85,0.05,22.51,13.2,25.32,2.06,6.32,1.985,2.251,2.532
119,1,79,12.66,345.7,0.15,2.94,0.04,0.39,65.97,29.01,1.46,0,0.02,66.75,52.02,44.87,0.090,1,991,557,434,56.21,43.79,2.87,21.09,23.11,95.56,2.22,1.01,2.33,15.66,38807,3.8807,0.004,6.597,0.146,6.675,5.202,4.487,0.15,2.94,0.05,0.2,66.91,28.54,1.19,0,0.03,0.005,6.691,0.119
120,49,4556,10.76,36.5,0,23.8,54,0.39,0.23,0,14.23,5.95,1.39,1.43,0.75,0.64,1.395,4,50676,24437,26239,48.22,51.78,1388.38,34.45,9.75,81.16,5.24,9.99,1.98,4.8,83097,8.3097,5.4,0.023,1.423,0.143,0.075,0.064,0,24.73,51.46,0.98,0.23,0,15.03,6.14,1.42,5.146,0.023,1.503
121,0,124,0.00,514.9,0.01,2.24,0.2,0.06,3.84,4.21,64.5,24.79,0.16,4.57,2.44,2,0.190,2,915,466,449,50.93,49.07,1.78,29.07,12.35,55.85,0.66,1.2,0,12.53,46667,4.6667,0.02,0.384,6.45,0.457,0.244,0.2,0.01,2.23,0.19,0.06,3.84,4.21,64.33,24.96,0.16,0.019,0.384,6.433
122,0,155,0.00,21.7,0.15,3.62,4.42,0.04,0.71,4.51,83.64,2.18,0.72,2.24,0.91,0.57,0.191,2,730,386,344,52.88,47.12,33.64,22.6,13.29,97.4,0,2.19,1.03,9.62,89375,8.9375,0.442,0.071,8.364,0.224,0.091,0.057,0.15,3.62,4.41,0.04,0.72,4.48,83.68,2.18,0.72,0.441,0.072,8.368
123,0,90,0.00,190.3,0.19,1.47,0.74,1.03,78.95,14.97,2.65,0,0,61.72,42.43,29.95,0.084,1,2439,1118,1321,45.84,54.16,12.82,20.13,18.66,86.96,6.56,2.38,8.79,10.94,28438,2.8438,0.074,7.895,0.265,6.172,4.243,2.995,0.19,1.46,0.74,1.03,81.21,13.55,1.81,0,0,0.074,8.121,0.181
124,1,1389,0.72,233.6,0.01,3.34,1.72,0.37,0,0,14.97,79.51,0.08,0.03,0.05,0.04,0.261,2,7923,3916,4007,49.43,50.57,33.92,43.78,5.21,76.31,0,4.52,13.33,16.74,24859,2.4859,0.172,0,1.497,0.003,0.005,0.004,0.01,3.35,1.65,0.38,0,0,14.98,79.55,0.08,0.165,0,1.498
125,105,5625,18.67,32.6,0,14.55,69.59,0.01,2.24,10.56,3.04,0,0,3.52,1.91,1.97,1.640,4,71917,35831,36086,49.82,50.18,2206.04,30.94,11.08,61.75,1.33,4.63,3.46,6.78,74371,7.4371,6.959,0.224,0.304,0.352,0.191,0.197,0,14.72,69.41,0.01,2.25,10.55,3.05,0.01,0,6.941,0.225,0.305
126,18,2222,8.10,657.7,0.11,5.19,1.17,25.08,0,49.46,4.87,14.12,0.01,0.02,0.03,0.03,0.294,3,18848,9116,9732,48.37,51.63,28.66,37.51,10.77,38.48,18.61,4.11,6.66,13.16,42738,4.2738,0.117,0,0.487,0.002,0.003,0.003,0.03,5.23,0.89,25.43,0,49.82,5,13.6,0.01,0.089,0,0.5
127,4,762,5.25,124.3,0.14,5.98,4.16,2.04,0,1.47,39.48,46.68,0.03,0.9,0.63,0.16,0.286,3,5871,2862,3009,48.75,51.25,47.23,37.73,8.24,37.28,4.17,1.14,3.4,11.79,51618,5.1618,0.416,0,3.948,0.09,0.063,0.016,0.1,5.96,4.04,2.05,0,1.39,38.97,47.46,0.03,0.404,0,3.897
128,27,3730,7.24,27.1,0,6.09,64.73,0,0,7.36,0,21.83,0,0.01,0.01,0.01,1.040,4,36186,17576,18610,48.57,51.43,1335.28,35.91,10.9,70.85,3.84,3.37,12.09,13.28,35994,3.5994,6.473,0,0,0.001,0.001,0.001,0.14,6.28,64.51,0,0,7.44,0,21.64,0,6.451,0,0
129,85,6513,13.05,29.3,2.82,6.83,88.5,0.98,0.14,0,0.65,0,0.09,0.94,0.6,0.6,2.540,4,87447,45409,42038,51.93,48.07,2984.54,28.51,9.78,39.65,1.07,29.83,8.35,8.63,46466,4.6466,8.85,0.014,0.065,0.094,0.06,0.06,3.68,7.5,87.77,0.17,0.14,0,0.65,0,0.08,8.777,0.014,0.065
130,1,116,8.62,196,0.14,3.42,0.73,1.1,0,0.43,19.34,74.56,0.27,0.29,0.02,0,0.190,2,915,469,446,51.26,48.74,4.67,36.83,6.45,78.03,1.2,0,6.61,6.23,43988,4.3988,0.073,0,1.934,0.029,0.002,0,0.08,3.42,0.73,1.11,0,0.17,20.54,73.8,0.15,0.073,0,2.054
131,0,60,0.00,129.4,0.55,11.59,2.82,5.77,0,4.55,47.7,26.99,0.04,0,0,0,0.231,2,256,134,122,52.34,47.66,1.98,29.3,7.03,81.25,5.08,1.17,1.83,9.82,27750,2.775,0.282,0,4.77,0,0,0,0.55,11.64,2.76,5.71,0,4.56,47.64,27.1,0.04,0.276,0,4.764
132,0,9,0.00,720.5,0.21,3.23,0.06,0.13,40.45,33.57,22.33,0,0.02,40.2,0.22,0.21,0.022,1,246,184,62,74.80,25.20,0.34,6.5,17.89,63.41,15.04,0.41,2.5,0,36125,3.6125,0.006,4.045,2.233,4.02,0.022,0.021,0.21,3.23,0.06,0.13,40.47,33.54,22.33,0,0.02,0.006,4.047,2.233
133,0,165,0.00,63.7,0.15,8.1,2.18,0,0,0,28.74,58.64,2.18,0.05,0.11,0.09,0.425,3,2739,1378,1361,50.31,49.69,43.00,20.99,13.84,87.88,2.37,5.77,1.33,5.05,88667,8.8667,0.218,0,2.874,0.005,0.011,0.009,0.13,8.1,2.16,0,0,0,28.75,58.69,2.18,0.216,0,2.875
134,26,2027,12.83,58.9,0.08,7.77,24.76,0.33,0.03,0.04,3.77,61.93,1.3,4.07,1.61,1.35,0.454,3,26134,12765,13369,48.84,51.16,443.70,32.85,9.52,82.72,3.5,6.05,3.43,10.59,48351,4.8351,2.476,0.003,0.377,0.407,0.161,0.135,0.08,7.82,24.32,0.37,0.03,0.04,3.62,62.4,1.32,2.432,0.003,0.362
135,69,4656,14.82,60.6,0.53,17.43,65.96,0.15,0.28,10.7,2.95,0,1.99,2.16,1.54,1.05,1.417,4,67930,33106,34824,48.74,51.26,1120.96,26.54,12.26,90.91,0.82,6.03,3.4,4.83,94377,9.4377,6.596,0.028,0.295,0.216,0.154,0.105,0.58,17.38,65.54,0.15,0.29,11.11,3.02,0,1.94,6.554,0.029,0.302
136,20,2462,8.12,31.2,1.51,20.6,53.41,0.02,1.94,4.33,15.59,0.61,2.01,12.07,6.92,4.55,2.493,4,32115,15905,16210,49.53,50.47,1029.33,26.82,13.09,88.25,2.35,4.22,5.91,11.18,40538,4.0538,5.341,0.194,1.559,1.207,0.692,0.455,1.44,22.27,50.84,0.02,1.94,4.49,16.38,0.6,2.02,5.084,0.194,1.638
137,96,13058,7.35,200,0.87,19.4,30.86,0.3,0.99,36.16,5.59,4.46,1.37,1.66,1.07,0.88,1.058,4,151126,74658,76468,49.40,50.60,755.63,29.87,10.53,80.14,2.6,6.06,6.15,6.97,57976,5.7976,3.086,0.099,0.559,0.166,0.107,0.088,0.87,19.61,30.17,0.37,1.04,36.38,5.65,4.53,1.38,3.017,0.104,0.565
138,81,8084,10.02,110.5,0.1,10.49,33.94,0.37,19.22,27.23,4.88,0,3.79,4.09,0.36,0.33,1.140,4,82707,41806,40901,50.55,49.45,748.48,34.9,4.58,59.54,15.33,14.05,1.24,7.65,98647,9.8647,3.394,1.922,0.488,0.409,0.036,0.033,0.22,11.82,30.2,0.98,19.21,27.5,6.35,0,3.71,3.02,1.921,0.635
139,33,2113,15.62,49.5,24.49,23.09,31.31,0.35,7.89,0.67,9.48,2.45,0.28,13.9,12.28,10.72,1.220,4,28817,14072,14745,48.83,51.17,582.16,30.89,8.8,88.63,2.86,8.46,3.3,5.89,103655,10.3655,3.131,0.789,0.948,1.39,1.228,1.072,21.52,22.39,29.33,3.36,8.27,0.72,10.56,3.57,0.29,2.933,0.827,1.056
140,116,8977,12.92,77.2,0.19,11.56,41.14,0,17,4.42,25.65,0,0.03,13.17,2.95,2.51,1.103,4,99213,49982,49231,50.38,49.62,1285.14,30.97,10.51,35.54,2.84,53.71,2.45,7.75,98547,9.8547,4.114,1.7,2.565,1.317,0.295,0.251,0.19,11.66,41.04,0.03,17,4.43,25.62,0,0.03,4.104,1.7,2.562
141,7,620,11.29,1288.2,0.16,2.48,0.21,0.31,16.89,47.6,29.08,1.32,1.96,23.06,9.7,8.07,0.084,1,7838,4206,3632,53.66,46.34,6.08,25.82,16.93,92.43,0.92,0.54,1.23,11.68,42910,4.291,0.021,1.689,2.908,2.306,0.97,0.807,0.16,2.48,0.21,0.24,16.94,47.66,29.01,1.33,1.96,0.021,1.694,2.901
142,8,1306,6.13,295.8,0.14,2.68,2.44,0.44,2.23,10.05,58.68,23.19,0.14,4.23,2.8,2.61,0.173,2,12213,6200,6013,50.77,49.23,41.29,33.25,11.19,88.5,0.3,0.83,4.44,11.52,49496,4.9496,0.244,0.223,5.868,0.423,0.28,0.261,0.14,2.71,2.37,0.44,2.23,10.04,58.66,23.26,0.14,0.237,0.223,5.866
143,15,1489,10.07,27.2,0.07,12.24,26.44,2.4,0,0,1.15,57.7,0,0.14,0.02,0,1.216,4,10195,5231,4964,51.31,48.69,374.82,39.4,6.1,57.78,2.58,1.07,7.69,11.93,39421,3.9421,2.644,0,0.115,0.014,0.002,0,0.09,11.78,22.81,3.25,0,0,1.36,60.71,0,2.281,0,0.136
144,47,3983,11.80,664,0.17,7.86,6.94,0.17,1.48,63.11,15.34,3.55,1.4,2.37,2.81,2.78,0.186,2,56150,33358,22792,59.41,40.59,84.56,27.76,11.42,75.32,3.91,3.37,4.61,5.08,58806,5.8806,0.694,0.148,1.534,0.237,0.281,0.278,0.17,7.87,6.83,0.19,1.53,62.68,15.81,3.54,1.39,0.683,0.153,1.581
